Temperature (C),Humidity (%),Sunlight Hours,Voltage (V),Electricity Generated (kWh)
24.36350297,47.55448642,6.989126548,29.99340487,0.052406926
38.76785766,53.14049616,6.66329677,34.93493545,0.058195461
33.29984855,79.81831752,5.4092313,31.25333561,0.04226413
29.9664621,43.80030702,8.858133361,21.66605166,0.047980194
18.90046601,80.87547794,7.812993284,23.71160474,0.046314652
18.89986301,26.16941017,10.92560794,24.38656368,0.066609508
16.4520903,74.3758906,4.256876644,25.15728507,0.026772865
36.65440364,79.32833431,9.15094342,31.30806784,0.071624589
30.02787529,32.7272357,10.10359103,30.0793156,0.075977276
32.70181444,50.12425727,10.07589255,24.06320077,0.060614556
15.51461236,31.58498423,11.08859174,21.35109687,0.059188399
39.2477463,69.46228903,9.832269943,23.42864409,0.057589188
35.81106602,57.47434376,11.42248049,39.68762625,0.113332784
20.30847777,64.47263427,6.661252799,29.370939,0.048911812
19.54562418,33.75408769,8.025675334,37.34691009,0.074933544
19.58511275,34.82221034,4.112637306,36.97504933,0.038016242
22.60605607,22.90481279,4.055660698,30.23039115,0.030651052
28.11891079,42.54472746,5.921012964,34.13375417,0.0505266
25.79862547,59.18212629,4.806457577,23.85504021,0.02866456
22.2807285,80.05544398,6.081690943,33.7679341,0.051341535
30.29632237,66.68492132,5.416346356,25.44769159,0.034458378
18.48734652,50.47774264,4.228160199,36.64124194,0.03873126
22.30361621,86.71840801,11.27443317,21.67448266,0.061091877
24.15904608,70.34716404,4.065785051,35.46277346,0.036046004
26.40174961,85.1115642,9.888657155,21.99873813,0.054384495
34.62939903,56.93115813,5.217183095,37.62378474,0.049072543
19.99184455,38.12329924,11.29783698,26.08409036,0.07367345
27.85586096,23.69786805,11.14236752,33.0878673,0.092169294
29.81036422,70.8259396,9.231209171,29.75004557,0.068657223
16.16126032,28.49120986,9.377873198,27.32606291,0.064065088
30.1886213,41.19425898,4.042713136,32.90883666,0.033260247
19.26310309,57.27296355,11.87897253,38.95045961,0.11567286
16.62628982,59.50916114,11.02266083,20.82539495,0.057387816
38.72213843,62.04082379,11.16084981,38.37705712,0.107080143
39.14080083,31.63787312,9.273956296,32.1816331,0.074612765
35.2099337,46.58161834,6.758295429,36.14628602,0.06107182
22.61534423,63.2035959,11.14918919,27.67749907,0.077145418
17.44180285,87.88732052,6.332135425,29.4368595,0.046599545
32.10582566,70.93417964,8.501692347,37.37701504,0.079441971
26.00381234,84.582263,4.797847779,28.2969594,0.033941126
18.05095587,73.35484408,11.37564504,30.69319133,0.087288712
27.37942275,61.42018782,5.126163662,20.40389846,0.026148431
15.85971303,33.44163584,5.799174446,23.17196012,0.03359456
37.73301005,66.66799563,8.465073265,32.83373016,0.069484983
21.46949954,63.63656962,10.112744,34.33953802,0.086816739
31.56305711,62.17284193,8.954810447,31.65201874,0.070859457
22.7927769,54.28501076,5.857071302,22.86620073,0.033482242
28.00170053,57.00596228,4.00754434,28.90810857,0.028962632
28.66775698,43.4109769,10.05720464,27.10189533,0.068142327
